Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Neighborhood,Bldg Type,House Style,Year Built,Year Remod/Add,Garage Cars,Mo Sold,Yr Sold,Sale Condition,SalePrice
33,0527452190,120,RL,53,4043,NPkVill,TwnhsE,1Story,1977,1977,2,7,2010,Normal,127500
34,0527453130,160,RL,24,2280,NPkVill,Twnhs,2Story,1975,1975,2,6,2010,Normal,149900
35,0527453150,120,RL,24,2280,NPkVill,Twnhs,1Story,1975,1975,1,6,2010,Normal,120000
36,0527454200,160,RL,24,2280,NPkVill,Twnhs,2Story,1978,1978,2,7,2010,Normal,146000
37,0528108120,060,RL,102,12858,NridgHt,1Fam,2Story,2009,2010,3,1,2010,Partial,376162
38,0528112020,020,RL,98,11478,NridgHt,1Fam,1Story,2007,2008,3,5,2010,Normal,306000
39,0528120060,020,RL,83,10159,NridgHt,1Fam,1Story,2009,2010,3,4,2010,Partial,395192
40,0528120090,020,RL,94,12883,NridgHt,1Fam,1Story,2009,2010,3,6,2010,Partial,290941
41,0528120100,020,RL,95,12182,NridgHt,1Fam,1Story,2005,2005,2,5,2010,Partial,220000
42,0528120120,020,RL,90,11520,NridgHt,1Fam,1Story,2005,2005,3,6,2010,Normal,275000
43,0528138020,020,RL,79,14122,NridgHt,1Fam,1Story,2005,2006,3,2,2010,Normal,259000
44,0528138060,020,RL,70,10171,NridgHt,1Fam,1Story,2004,2004,2,3,2010,Normal,214000
45,0528150070,020,RL,100,12919,NridgHt,1Fam,1Story,2009,2010,3,3,2010,Partial,611657
46,0528175010,120,RL,44,6371,NridgHt,TwnhsE,1Story,2009,2010,2,6,2010,Partial,224000
47,0528176010,020,RL,110,14300,NridgHt,1Fam,1Story,2003,2004,3,6,2010,Normal,500000
48,0528176070,060,RL,105,13650,NridgHt,1Fam,2Story,2002,2002,3,6,2010,Normal,320000
49,0528180070,120,RL,61,7658,NridgHt,TwnhsE,1Story,2005,2005,2,2,2010,Normal,319900
50,0528181050,120,RL,41,7132,NridgHt,TwnhsE,1Story,2006,2006,2,4,2010,Normal,205000
51,0528188120,160,RL,36,2628,NridgHt,Twnhs,2Story,2003,2003,2,6,2010,Normal,175500
52,0528218150,020,RL,100,18494,Gilbert,1Fam,1Story,2005,2005,2,1,2010,Normal,199500
53,0528228285,120,RL,43,3203,Blmngtn,TwnhsE,1Story,2006,2006,2,1,2010,Normal,160000
54,0528228440,120,RL,43,3182,Blmngtn,TwnhsE,1Story,2004,2005,2,4,2010,Normal,192000
55,0528231020,080,RL,67,13300,Gilbert,1Fam,SLvl,2004,2004,2,6,2010,Normal,184500
56,0528240070,060,RL,,7851,Gilbert,1Fam,2Story,2002,2002,2,5,2010,Normal,216500
57,0528240130,060,RL,63,8577,Gilbert,1Fam,2Story,2004,2004,2,4,2010,Normal,185088
58,0528250100,080,RL,,7750,Gilbert,1Fam,SLvl,2000,2000,2,4,2010,Normal,180000
59,0528292020,060,RL,,9505,Gilbert,1Fam,2Story,2001,2001,2,5,2010,Normal,222500
60,0528328100,060,RL,108,14774,NoRidge,1Fam,2Story,1999,1999,3,5,2010,Normal,333168
61,0528344070,060,RL,60,17433,NoRidge,1Fam,2Story,1998,1998,3,1,2010,Normal,355000
62,0528358010,020,RL,59,10593,NoRidge,1Fam,1Story,1996,1996,2,3,2010,Normal,260400
63,0528363130,060,RL,98,12256,NoRidge,1Fam,2Story,1994,1995,2,4,2010,Normal,325000
64,0528382020,060,RL,92,11764,NoRidge,1Fam,2Story,1999,2007,3,4,2010,Normal,290000
65,0528382030,060,RL,58,16770,NoRidge,1Fam,2Story,1998,1998,2,6,2010,Normal,221000
66,0528386040,050,RL,56,14720,NoRidge,1Fam,1.5Fin,1995,1996,3,3,2010,Normal,410000
67,0528445060,020,RL,73,8987,Somerst,1Fam,1Story,2005,2006,3,5,2010,Normal,221500
68,0528456160,020,FV,92,9215,Somerst,1Fam,1Story,2009,2010,2,4,2010,Partial,204500
69,0528458070,060,FV,72,8640,Somerst,1Fam,2Story,2009,2009,2,6,2010,Normal,215200
70,0528458110,020,FV,75,9000,Somerst,1Fam,1Story,2008,2008,2,4,2010,Normal,262500
71,0528477080,060,FV,100,12552,Somerst,1Fam,2Story,2004,2005,2,5,2010,Normal,254900
72,0528480090,020,FV,84,10440,Somerst,1Fam,1Story,2005,2005,2,5,2010,Normal,271500
73,0531367050,060,RL,76,10142,SawyerW,1Fam,2Story,2004,2004,2,1,2010,Normal,233000
74,0531369060,060,RL,70,11920,SawyerW,1Fam,2Story,2004,2004,2,4,2010,Normal,181000
75,0531380080,060,RL,,8880,SawyerW,1Fam,2Story,1994,2002,2,5,2010,Normal,205000
76,0531451110,120,RL,50,8012,SawyerW,TwnhsE,1Story,1980,1980,1,5,2010,Normal,143000
77,0531451280,060,RL,70,11218,SawyerW,1Fam,2Story,1992,1992,2,5,2010,Normal,189000
78,0531452020,120,RL,55,7892,SawyerW,TwnhsE,1Story,1979,1979,1,4,2010,Normal,99500
79,0531452050,120,RL,50,7175,SawyerW,TwnhsE,1Story,1984,1984,1,2,2010,Normal,125000
80,0531452180,060,RL,,9453,SawyerW,1Fam,2Story,1993,2003,2,2,2010,Normal,194500
81,0531453010,020,RL,81,9672,SawyerW,1Fam,1Story,1984,1985,2,5,2010,Normal,152000
82,0531453040,060,RL,70,8400,SawyerW,1Fam,2Story,1980,1981,2,4,2010,Normal,171000
83,0531477050,030,RH,70,9800,SawyerW,1Fam,1Story,1920,1950,1,4,2010,Normal,67500
84,0532351140,090,RM,68,8930,Sawyer,Duplex,1.5Fin,1978,1978,2,4,2010,Normal,112000
85,0532354090,085,RL,88,11782,Sawyer,1Fam,SFoyer,1961,1995,2,6,2010,Normal,148000
86,0532376160,020,RL,65,8450,Sawyer,1Fam,1Story,1965,2009,1,4,2010,Normal,138500
87,0532377060,020,RL,,9819,Sawyer,1Fam,1Story,1967,1967,1,2,2010,Normal,122000
88,0532377100,020,RL,75,7500,Sawyer,1Fam,1Story,1963,1963,1,6,2010,Normal,133000
89,0532378110,020,RL,,6897,Sawyer,1Fam,1Story,1962,2010,1,4,2010,Normal,127000
90,0532479070,020,RL,39,15410,Sawyer,1Fam,1Story,1974,2002,2,4,2010,Abnorml,169000
91,0533130020,060,RL,107,10186,NoRidge,1Fam,2Story,1992,1992,2,6,2010,Normal,190000
92,0533130130,060,RL,85,13143,NoRidge,1Fam,2Story,1993,1993,3,6,2010,Normal,362500
93,0533130160,060,RL,88,11134,NoRidge,1Fam,2Story,1992,1993,3,6,2010,Normal,285000
94,0533205060,120,FV,25,4835,Somerst,TwnhsE,1Story,2004,2005,2,3,2010,Normal,260000
95,0533208090,160,FV,39,3515,Somerst,TwnhsE,2Story,2004,2004,2,1,2010,Normal,190000
96,0533210060,160,FV,30,3215,Somerst,TwnhsE,2Story,2004,2004,2,4,2010,Normal,155000
97,0533212010,160,FV,30,3182,Somerst,TwnhsE,2Story,2004,2005,2,6,2010,Normal,151000
98,0533212020,160,FV,24,2544,Somerst,Twnhs,2Story,2004,2005,2,2,2010,Normal,149500
99,0533212060,160,FV,24,2544,Somerst,Twnhs,2Story,2005,2005,2,5,2010,Normal,152000
100,0533213030,020,FV,,4403,Somerst,1Fam,1Story,2009,2009,2,6,2010,Partial,222000
101,0533221090,160,FV,,2117,Somerst,Twnhs,2Story,2000,2000,2,6,2010,Normal,177500
102,0533221110,160,FV,,2980,Somerst,TwnhsE,2Story,2000,2000,2,5,2010,Normal,177000
103,0533223020,160,FV,24,2572,Somerst,Twnhs,2Story,1999,1999,2,5,2010,Normal,155000
104,0533223100,160,FV,,2403,Somerst,TwnhsE,2Story,2003,2003,2,6,2010,Normal,147110
105,0533238045,020,FV,57,12853,Somerst,1Fam,1Story,2010,2010,3,4,2010,Partial,267916
106,0533244030,060,FV,68,7379,Somerst,1Fam,2Story,2000,2000,2,4,2010,Normal,254000
107,0533253060,120,RL,30,4420,Greens,TwnhsE,1Story,1980,1980,2,6,2010,Normal,155000
108,0533253210,120,RL,40,3880,Greens,Twnhs,1Story,1978,1978,2,1,2010,Normal,206000
109,0533352170,060,RL,,13517,Sawyer,1Fam,2Story,1976,2005,2,3,2010,Normal,130500
110,0534102025,020,FV,80,8000,Somerst,1Fam,1Story,2002,2002,2,4,2010,Normal,230000
111,0534129040,020,RL,,10456,NWAmes,1Fam,1Story,1967,1967,2,5,2010,Normal,218500
112,0534151175,060,RL,80,10791,NWAmes,1Fam,2Story,1993,1993,2,3,2010,Normal,243500
113,0534152050,020,RL,,10603,NWAmes,1Fam,1Story,1977,2001,2,2,2010,Normal,205000
114,0534152070,050,RL,,18837,NWAmes,1Fam,1.5Fin,1978,1978,2,4,2010,Normal,212500
115,0534152100,060,RL,80,10421,NWAmes,1Fam,2Story,1988,1988,2,3,2010,Normal,196500
116,0534176060,020,RL,78,9360,NWAmes,1Fam,1Story,1972,2006,2,3,2010,Normal,197500
117,0534176230,060,RL,80,9600,NWAmes,1Fam,2Story,1971,1971,2,6,2010,Normal,171000
118,0534202160,020,RL,80,9600,NAmes,1Fam,1Story,1966,1966,2,4,2010,Normal,142250
119,0534251320,020,RL,,9790,NWAmes,1Fam,1Story,1963,1963,2,6,2010,Normal,143000
120,0534276360,020,RL,77,9320,NAmes,1Fam,1Story,1959,1959,0,1,2010,Normal,128950
121,0534401110,020,RL,90,9900,NAmes,1Fam,1Story,1966,1966,2,4,2010,Normal,159000
122,0534401140,020,RL,88,9680,NAmes,1Fam,1Story,1967,1967,2,4,2010,Normal,178900
123,0534403360,080,RL,,10600,NAmes,1Fam,SLvl,1964,1964,2,5,2010,Family,136300
124,0534403410,080,RL,,14112,NAmes,1Fam,SLvl,1964,1964,2,4,2010,Normal,180500
125,0534425310,085,RL,80,8800,NAmes,1Fam,SFoyer,1963,1963,2,5,2010,Abnorml,137500
126,0534427010,090,RL,98,13260,NAmes,Duplex,1Story,1962,2001,0,1,2010,Abnorml,84900
127,0534430080,020,RL,68,9717,NAmes,1Fam,1Story,1950,1996,1,4,2010,Normal,142125
128,0534431050,050,RL,68,9724,NAmes,1Fam,1.5Fin,1952,2002,2,3,2010,Normal,197600
129,0534431070,050,RL,120,17360,NAmes,1Fam,1.5Fin,1949,1950,2,1,2010,Normal,172500
130,0534450180,020,RL,50,7207,BrkSide,1Fam,1Story,1958,2008,0,2,2010,Normal,116500
131,0534451150,030,RL,55,5350,BrkSide,1Fam,1Story,1940,1966,0,5,2010,Normal,76500
132,0534475100,020,RL,80,9920,NAmes,1Fam,1Story,1954,1954,1,2,2010,Normal,128000
133,0534476260,080,RL,80,9600,NAmes,1Fam,SLvl,1955,1972,1,3,2010,Normal,153000
134,0534479320,020,RL,78,7800,NAmes,1Fam,1Story,1954,1954,1,3,2010,Normal,132000
135,0535101020,085,RL,75,11380,NAmes,1Fam,SFoyer,1966,2008,1,1,2010,Normal,178000
136,0535106190,090,RL,80,11600,NAmes,Duplex,2Story,1960,1960,2,1,2010,Normal,154300
137,0535125010,020,RL,,19900,NAmes,1Fam,1Story,1970,1989,2,7,2010,Normal,180000
138,0535126040,020,RL,137,16492,NAmes,1Fam,1Story,1966,2002,2,6,2010,Normal,190000
139,0535152010,090,RL,70,8267,NAmes,Duplex,1Story,1958,1958,2,3,2010,Normal,135000
140,0535152050,020,RL,70,8197,NAmes,1Fam,1Story,2003,2009,2,2,2010,Normal,214000
141,0535152130,020,RL,,8050,NAmes,1Fam,1Story,1959,1959,1,5,2010,Normal,136000
142,0535152150,020,RL,70,10552,NAmes,1Fam,1Story,1959,1959,2,4,2010,Normal,165500
143,0535152250,020,RL,70,8400,NAmes,1Fam,1Story,1957,1957,1,6,2010,Normal,145000
144,0535153070,020,RL,73,8760,NAmes,1Fam,1Story,1959,1959,1,4,2010,Normal,148000
145,0535154050,020,RL,,12160,NAmes,1Fam,1Story,1959,1959,2,5,2010,Abnorml,142000
146,0535175070,020,RL,73,9300,NAmes,1Fam,1Story,1960,1960,2,4,2010,Normal,167500
147,0535175180,020,RL,87,10725,NAmes,1Fam,1Story,1959,1959,1,5,2010,Normal,108538
148,0535179020,020,RL,80,10032,NAmes,1Fam,1Story,1959,1959,2,6,2010,Normal,159500
149,0535180130,050,RL,60,8382,NAmes,1Fam,1.5Fin,1956,1956,1,2,2010,Normal,108000
150,0535302080,020,RL,60,10950,NAmes,1Fam,1Story,1952,1952,1,5,2010,Normal,135000
151,0535302200,020,RL,119,10895,NAmes,1Fam,1Story,1955,1955,1,6,2010,Normal,122500
152,0535304060,190,RL,70,13587,NAmes,2fmCon,1Story,1958,1958,1,4,2010,Abnorml,119000
153,0535304180,020,RL,68,7922,NAmes,1Fam,1Story,1953,2007,1,1,2010,Abnorml,109000
154,0535325400,030,RL,65,7898,NAmes,1Fam,1Story,1920,1994,2,4,2010,Normal,105000
155,0535327140,020,RL,60,7200,NAmes,1Fam,1Story,1955,2007,1,4,2010,Normal,107500
156,0535350030,020,RL,85,10200,NAmes,1Fam,1Story,1954,2003,2,5,2010,Normal,144900
157,0535350040,020,RL,74,5868,NAmes,1Fam,1Story,1956,2000,1,5,2010,Normal,129000
158,0535353190,050,RL,78,17503,NAmes,1Fam,1.5Fin,1948,1950,1,1,2010,Abnorml,97500
159,0535377090,090,RL,64,6979,OldTown,Duplex,SFoyer,1980,1980,2,6,2010,Normal,144000
160,0535401080,020,RL,,9830,NAmes,1Fam,1Story,1959,2006,2,3,2010,Normal,162000
161,0535425010,080,RL,96,11275,NAmes,1Fam,SLvl,1967,2007,2,6,2010,Normal,242000
162,0535450210,050,RL,60,8064,NAmes,1Fam,1.5Fin,1948,2004,1,5,2010,Normal,132000
163,0535453070,020,RL,75,7500,NAmes,1Fam,1Story,1959,1994,1,5,2010,Normal,154000
164,0535454070,050,RL,71,8520,NAmes,1Fam,1.5Fin,1952,1952,2,6,2010,Normal,166000
165,0535456110,020,RL,60,7200,NAmes,1Fam,1Story,1951,2000,2,5,2010,Normal,134800
166,0535457010,020,RL,87,10000,NAmes,1Fam,1Story,1962,1962,2,2,2010,Normal,160000
167,0535457090,020,RL,81,7635,NAmes,1Fam,1Story,1960,1960,2,6,2010,Normal,148000
168,0535476350,020,RL,80,9760,NAmes,1Fam,1Story,1963,1984,2,5,2010,Normal,192000
169,0535477020,060,RL,70,7700,NAmes,1Fam,2Story,1966,1966,2,6,2010,Normal,155000
170,0902102100,050,RM,60,4800,OldTown,1Fam,1.5Fin,1900,1954,1,1,2010,Abnorml,80400
171,0902104060,050,RM,55,8800,OldTown,1Fam,1.5Fin,1910,2004,0,6,2010,Normal,96500
172,0902106130,030,RM,56,4485,OldTown,1Fam,1Story,1920,1950,0,5,2010,Normal,109500
173,0902106140,030,RM,56,8960,OldTown,1Fam,1Story,1927,1950,2,3,2010,Normal,115000
174,0902110090,020,RM,69,5805,OldTown,1Fam,1Story,1957,1957,2,6,2010,Normal,143000
175,0902125080,050,RM,60,5790,OldTown,1Fam,2Story,1915,1950,1,5,2010,Normal,107400
176,0902125160,030,RM,47,4608,OldTown,1Fam,1Story,1945,1950,1,6,2010,Normal,80000
177,0902128170,030,RM,60,7200,OldTown,1Fam,1Story,1940,1992,1,2,2010,Abnorml,119000
178,0902206040,050,RM,50,5500,OldTown,1Fam,1.5Fin,1929,2001,2,4,2010,Normal,130000
179,0902206130,045,RM,50,6900,OldTown,1Fam,1.5Fin,1938,2000,1,1,2010,Normal,119000
180,0902206220,050,RM,69,11851,OldTown,1Fam,1.5Fin,1948,2009,1,6,2010,Normal,129000
181,0902206240,050,RM,,8239,OldTown,1Fam,1.5Fin,1920,1962,1,3,2010,Normal,100000
182,0902207130,030,RM,68,9656,OldTown,1Fam,1Story,1923,1970,2,6,2010,Abnorml,12789
183,0902207140,030,RM,60,8520,OldTown,1Fam,1Story,1928,2003,2,5,2010,Normal,105900
184,0902305110,070,RM,60,9600,OldTown,1Fam,2Story,1900,2003,1,4,2010,Abnorml,150000
185,0902327040,050,RM,60,10800,OldTown,1Fam,1.5Fin,1915,1950,1,6,2010,Normal,139000
186,0902329030,070,RM,50,9000,OldTown,1Fam,2Story,1890,2002,2,4,2010,Normal,240000
187,0902401060,190,RM,100,9045,OldTown,2fmCon,2Story,1910,1950,0,6,2010,Abnorml,76500
188,0902402010,020,RM,90,7407,OldTown,1Fam,1Story,1957,1996,2,4,2010,Normal,149700
189,0902402130,070,RM,60,7740,OldTown,1Fam,2Story,1910,1950,2,6,2010,Normal,125500
190,0902402250,190,RM,60,11340,OldTown,2fmCon,2Story,1885,1950,2,4,2010,Normal,122500
191,0902403070,070,RM,60,10560,OldTown,1Fam,2Story,1922,1994,2,6,2010,Normal,140750
192,0903204040,050,RM,53,5830,BrkSide,1Fam,1.5Fin,1950,1997,1,3,2010,Normal,128500
193,0903206120,075,RL,,7793,BrkSide,1Fam,2.5Unf,1922,2005,1,5,2010,Normal,209500
194,0903225150,030,RM,50,5000,BrkSide,1Fam,1Story,1925,1950,1,4,2010,Normal,87000
195,0903226160,050,RM,50,6000,BrkSide,1Fam,1.5Fin,1939,1950,1,4,2010,Abnorml,134000
196,0903227020,050,RM,50,6000,BrkSide,1Fam,1.5Fin,1940,1950,2,3,2010,Normal,128000
197,0903227150,050,RM,53,6360,BrkSide,1Fam,1.5Fin,1942,1950,1,3,2010,Normal,132000
198,0903228150,050,RM,50,6000,BrkSide,1Fam,1.5Fin,1948,1950,1,3,2010,Normal,139900
199,0903232190,050,RM,52,6240,BrkSide,1Fam,1.5Fin,1936,1980,2,5,2010,Normal,123900
200,0903233120,050,RM,52,6240,BrkSide,1Fam,1.5Fin,1930,1950,2,3,2010,Normal,138400
201,0903234050,030,RM,51,6120,OldTown,1Fam,1Story,1923,1950,1,3,2010,Normal,109500
202,0903425110,070,RM,50,10300,OldTown,1Fam,2Story,1921,1950,2,4,2010,Normal,140000
203,0903426180,050,RM,57,8094,OldTown,1Fam,1.5Fin,1915,1950,2,6,2010,Normal,149500
204,0903426200,070,RM,60,12900,OldTown,1Fam,2Story,1912,2009,0,5,2010,Normal,159900
205,0903430080,070,RM,52,3068,OldTown,1Fam,2Story,1920,1993,1,2,2010,Normal,122000
206,0903450110,090,RM,110,8472,IDOTRR,Duplex,1Story,1963,1963,2,5,2010,Normal,110000
207,0903454060,190,RM,70,5600,IDOTRR,2fmCon,2Story,1930,1950,0,7,2010,Normal,55000
208,0903476030,190,RM,76,7630,OldTown,2fmCon,2Story,1900,1996,2,5,2010,Normal,140000
209,0904100140,070,RL,,24090,ClearCr,1Fam,2Story,1940,1950,1,6,2010,Normal,244400
210,0904101110,020,RL,100,15263,ClearCr,1Fam,1Story,1959,1959,1,5,2010,Normal,173000
211,0904300150,050,RL,72,10632,ClearCr,1Fam,1.5Fin,1917,1950,1,1,2010,Normal,107500
212,0904302260,190,RL,60,9900,SWISU,2fmCon,1.5Fin,1915,1950,0,2,2010,Normal,100000
213,0904350045,050,RL,65,6001,SWISU,1Fam,1.5Fin,1940,1950,1,3,2010,Normal,95000
214,0904351040,070,C (all),,6449,SWISU,1Fam,2Story,1907,1950,0,3,2010,Abnorml,93369
215,0904352190,190,RH,60,6048,SWISU,2fmCon,1.5Fin,1910,1950,2,6,2010,Normal,114900
216,0905101100,050,RL,54,6342,Sawyer,1Fam,1.5Fin,1875,1996,0,5,2010,Normal,94000
217,0905101300,090,RL,72,10773,Sawyer,Duplex,1Story,1967,1967,0,5,2010,Normal,136000
218,0905101310,090,RL,72,10778,Sawyer,Duplex,1Story,1968,1968,0,4,2010,Normal,136500
219,0905102060,190,RL,75,11625,Sawyer,2fmCon,1Story,1965,1965,2,4,2010,Normal,131500
220,0905103060,020,RL,,11341,Sawyer,1Fam,1Story,1957,1996,2,5,2010,Normal,121500
221,0905104210,020,RL,70,8521,Sawyer,1Fam,1Story,1967,1967,1,5,2010,Normal,125000
222,0905105070,020,RL,,8246,Sawyer,1Fam,1Story,1968,2001,1,5,2010,Normal,154000
223,0905105200,020,RL,65,7800,Sawyer,1Fam,1Story,1966,2008,1,6,2010,Normal,137900
224,0905106140,060,RL,80,9364,Sawyer,1Fam,2Story,1969,1969,1,3,2010,Normal,158000
225,0905106170,020,RL,65,7832,Sawyer,1Fam,1Story,1968,1968,1,5,2010,Normal,137250
226,0905107110,090,RL,,7424,Sawyer,Duplex,SFoyer,1978,1978,2,5,2010,Normal,160250
227,0905107250,060,RL,86,11227,Sawyer,1Fam,2Story,1968,1968,2,3,2010,Normal,163000
228,0905107320,060,RL,,11616,Sawyer,1Fam,2Story,1978,1978,2,4,2010,Abnorml,158900
229,0905109130,060,RL,80,14000,ClearCr,1Fam,2Story,1996,1997,2,4,2010,Normal,328000
230,0905109170,020,RL,,20062,ClearCr,1Fam,1Story,1977,2001,2,4,2010,Normal,270000
231,0905201030,030,RL,94,9259,Sawyer,1Fam,1Story,1927,1950,2,6,2010,Normal,85000
232,0905202090,020,RL,60,9600,Sawyer,1Fam,1Story,1950,1995,2,2,2010,Normal,128000
233,0905325030,040,RL,,23595,ClearCr,1Fam,1Story,1979,1979,2,4,2010,Normal,260000
234,0905352140,060,RL,,17082,ClearCr,1Fam,2Story,1978,1992,2,5,2010,Normal,230000
235,0905378040,050,RL,124,18600,Edwards,1Fam,1.5Fin,1938,1990,1,6,2010,Normal,124000
236,0905426060,030,RL,85,10625,Edwards,1Fam,1Story,1920,1950,1,5,2010,Abnorml,83000
237,0905426200,020,RL,65,11479,Edwards,1Fam,1Story,1950,1987,1,6,2010,Normal,144500
238,0905451320,020,RL,68,9571,Edwards,1Fam,1Story,1956,1956,1,6,2010,Normal,129000
239,0905452110,050,RL,50,9350,Edwards,1Fam,1.5Fin,1947,1979,1,6,2010,Normal,127000
240,0905452160,020,RL,75,9525,Edwards,1Fam,1Story,1954,1998,1,6,2010,Normal,128000
241,0905453040,020,RL,83,10420,Edwards,1Fam,1Story,2009,2009,2,3,2010,Normal,186000
242,0905453080,020,RL,44,17485,Edwards,1Fam,1Story,2009,2010,2,1,2010,Partial,308030
243,0905475510,020,RL,,11200,Edwards,1Fam,1Story,1964,1964,2,6,2010,Normal,114000
244,0905478190,020,RL,60,11100,Edwards,1Fam,1Story,1946,2006,1,4,2010,Abnorml,84900
245,0906201030,060,RL,77,9206,SawyerW,1Fam,2Story,1985,1985,2,6,2010,Normal,178000
246,0906201120,020,RL,83,11980,SawyerW,1Fam,1Story,1987,1987,2,6,2010,Normal,270000
247,0906204230,060,RL,87,12361,SawyerW,1Fam,2Story,1993,1993,4,5,2010,Normal,218000
248,0906223090,060,RL,80,9938,SawyerW,1Fam,2Story,1993,1994,2,6,2010,Normal,236000
249,0906225210,085,RL,73,9069,SawyerW,1Fam,SFoyer,1992,1992,2,4,2010,Normal,147000
250,0906378100,020,RL,64,10475,CollgCr,1Fam,1Story,2008,2008,3,2,2010,Normal,245350
251,0906380190,020,RL,64,6762,CollgCr,1Fam,1Story,2006,2006,2,2,2010,Normal,206000
252,0906385010,020,RL,94,10402,CollgCr,1Fam,1Story,2009,2009,3,5,2010,Normal,198900
253,0906385020,020,RL,64,7360,CollgCr,1Fam,1Story,2010,2010,2,3,2010,Normal,187000
254,0906402200,060,RL,90,12376,SawyerW,1Fam,2Story,1990,1990,3,5,2010,Normal,320000
255,0906425045,050,RL,82,14235,SawyerW,1Fam,1.5Fin,1900,1993,2,3,2010,Normal,138500
256,0906477110,080,RL,80,8816,ClearCr,1Fam,SLvl,1971,1971,2,6,2010,Normal,155000
257,0907125090,085,RL,82,11105,CollgCr,1Fam,SFoyer,1996,1996,2,7,2010,Normal,159000
258,0907180050,060,RL,,9337,CollgCr,1Fam,2Story,1997,1998,2,4,2010,Normal,191000
259,0907185060,060,RL,70,8750,CollgCr,1Fam,2Story,1998,1998,2,6,2010,Normal,200500
260,0907200280,020,RL,38,15240,CollgCr,1Fam,1Story,1977,2004,1,6,2010,Normal,150000
261,0907200290,060,RL,,10900,CollgCr,1Fam,2Story,1977,1977,1,3,2010,Normal,161750
262,0907200340,020,RL,75,10650,CollgCr,1Fam,1Story,1976,1976,1,2,2010,Normal,128200
263,0907203070,020,RL,68,7480,CollgCr,1Fam,1Story,1972,1972,2,6,2010,Normal,127000
264,0907250030,020,RL,80,10389,CollgCr,1Fam,1Story,2003,2003,3,5,2010,Normal,318000
